CMDLINE python basic_decode.py
MEM 0.589844 1408955270.4623
MEM 16.277344 1408955270.5626
MEM 25.738281 1408955270.6633
MEM 38.667969 1408955270.7637
MEM 44.839844 1408955270.8640
MEM 49.468750 1408955270.9645
MEM 49.726562 1408955271.0648
MEM 49.726562 1408955271.1651
MEM 49.726562 1408955271.2654
MEM 49.726562 1408955271.3658
MEM 49.726562 1408955271.4661
MEM 49.726562 1408955271.5668
MEM 49.726562 1408955271.6675
MEM 49.941406 1408955271.7678
MEM 49.941406 1408955271.8681
MEM 49.941406 1408955271.9685
MEM 50.199219 1408955272.0688
MEM 50.199219 1408955272.1691
MEM 50.199219 1408955272.2695
MEM 50.457031 1408955272.3698
MEM 50.457031 1408955272.4701
MEM 50.457031 1408955272.5704
MEM 50.714844 1408955272.6707
MEM 50.714844 1408955272.7711
MEM 50.972656 1408955272.8714
MEM 50.972656 1408955272.9717
MEM 50.972656 1408955273.0722
MEM 51.230469 1408955273.1725
MEM 51.230469 1408955273.2729
MEM 51.230469 1408955273.3732
MEM 51.488281 1408955273.4735
MEM 51.488281 1408955273.5738
MEM 51.488281 1408955273.6741
MEM 51.746094 1408955273.7745
MEM 51.746094 1408955273.8748
MEM 51.746094 1408955273.9751
MEM 52.003906 1408955274.0754
MEM 52.003906 1408955274.1758
MEM 52.003906 1408955274.2761
MEM 52.261719 1408955274.3764
MEM 52.261719 1408955274.4768
MEM 52.261719 1408955274.5772
MEM 52.519531 1408955274.6775
MEM 52.519531 1408955274.7778
MEM 52.777344 1408955274.8781
MEM 52.777344 1408955274.9784
MEM 52.777344 1408955275.0788
MEM 53.035156 1408955275.1791
MEM 53.035156 1408955275.2794
MEM 53.035156 1408955275.3797
MEM 53.269531 1408955275.4801
MEM 53.269531 1408955275.5805
MEM 53.527344 1408955275.6808
MEM 53.527344 1408955275.7812
MEM 53.527344 1408955275.8815
MEM 53.785156 1408955275.9818
MEM 53.785156 1408955276.0821
MEM 53.785156 1408955276.1833
MEM 54.042969 1408955276.2837
MEM 54.042969 1408955276.3841
MEM 54.042969 1408955276.4845
MEM 54.300781 1408955276.5848
MEM 54.300781 1408955276.6852
MEM 54.558594 1408955276.7855
MEM 54.558594 1408955276.8858
MEM 54.558594 1408955276.9862
MEM 54.816406 1408955277.0865
MEM 54.816406 1408955277.1868
MEM 54.816406 1408955277.2872
MEM 55.074219 1408955277.3875
MEM 55.074219 1408955277.4878
MEM 55.332031 1408955277.5883
MEM 55.332031 1408955277.6886
MEM 55.332031 1408955277.7889
MEM 55.589844 1408955277.8892
MEM 55.589844 1408955277.9896
MEM 55.589844 1408955278.0898
MEM 55.847656 1408955278.1905
MEM 55.847656 1408955278.2912
MEM 55.847656 1408955278.3916
MEM 56.105469 1408955278.4919
MEM 56.105469 1408955278.5923
MEM 56.363281 1408955278.6928
MEM 56.363281 1408955278.7933
MEM 56.363281 1408955278.8936
MEM 56.621094 1408955278.9939
MEM 109.648438 1408955279.0943
MEM 167.140625 1408955279.1952
MEM 167.140625 1408955279.2956
MEM 167.140625 1408955279.3959
MEM 167.140625 1408955279.4962
MEM 167.140625 1408955279.5965
MEM 167.140625 1408955279.6969
MEM 167.140625 1408955279.7972
MEM 167.140625 1408955279.8975
MEM 167.140625 1408955279.9978
MEM 167.359375 1408955280.0986
MEM 167.359375 1408955280.1990
MEM 167.359375 1408955280.2993
MEM 167.359375 1408955280.3997
MEM 167.359375 1408955280.5000
MEM 167.359375 1408955280.6008
MEM 167.359375 1408955280.7013
MEM 167.359375 1408955280.8016
MEM 167.359375 1408955280.9020
MEM 167.359375 1408955281.0023
MEM 167.359375 1408955281.1035
MEM 167.359375 1408955281.2038
MEM 167.359375 1408955281.3042
MEM 160.570312 1408955281.4045
MEM 160.570312 1408955281.5048
MEM 160.570312 1408955281.6054
MEM 160.570312 1408955281.7058
MEM 160.570312 1408955281.8062
