CMDLINE python basic_decode.py
MEM 0.554688 1408955435.8992
MEM 16.070312 1408955435.9996
MEM 25.109375 1408955436.0999
MEM 35.882812 1408955436.2003
MEM 55.539062 1408955436.3006
MEM 58.875000 1408955436.4010
MEM 61.183594 1408955436.5013
MEM 66.855469 1408955436.6017
MEM 67.886719 1408955436.7024
MEM 67.886719 1408955436.8027
MEM 67.886719 1408955436.9031
MEM 67.886719 1408955437.0034
MEM 67.886719 1408955437.1038
MEM 67.886719 1408955437.2042
MEM 67.886719 1408955437.3045
MEM 67.886719 1408955437.4048
MEM 67.886719 1408955437.5052
MEM 67.886719 1408955437.6055
MEM 67.886719 1408955437.7062
MEM 67.886719 1408955437.8071
MEM 67.886719 1408955437.9079
MEM 67.886719 1408955438.0083
MEM 68.089844 1408955438.1087
MEM 68.089844 1408955438.2090
MEM 68.347656 1408955438.3094
MEM 68.347656 1408955438.4097
MEM 68.347656 1408955438.5105
MEM 68.605469 1408955438.6108
MEM 68.605469 1408955438.7112
MEM 68.863281 1408955438.8115
MEM 68.863281 1408955438.9118
MEM 68.863281 1408955439.0124
MEM 69.121094 1408955439.1127
MEM 69.121094 1408955439.2130
MEM 69.121094 1408955439.3133
MEM 69.378906 1408955439.4137
MEM 69.378906 1408955439.5142
MEM 69.636719 1408955439.6146
MEM 69.636719 1408955439.7149
MEM 69.636719 1408955439.8152
MEM 69.894531 1408955439.9159
MEM 69.894531 1408955440.0163
MEM 70.152344 1408955440.1167
MEM 70.152344 1408955440.2170
MEM 70.152344 1408955440.3173
MEM 70.410156 1408955440.4181
MEM 70.410156 1408955440.5185
MEM 70.667969 1408955440.6188
MEM 70.667969 1408955440.7192
MEM 70.667969 1408955440.8195
MEM 70.925781 1408955440.9203
MEM 70.925781 1408955441.0208
MEM 70.925781 1408955441.1211
MEM 71.183594 1408955441.2215
MEM 71.183594 1408955441.3218
MEM 71.441406 1408955441.4225
MEM 71.441406 1408955441.5229
MEM 71.441406 1408955441.6232
MEM 71.699219 1408955441.7235
MEM 71.699219 1408955441.8239
MEM 71.957031 1408955441.9245
MEM 71.957031 1408955442.0249
MEM 71.957031 1408955442.1252
MEM 72.214844 1408955442.2255
MEM 72.214844 1408955442.3258
