CMDLINE python basic_decode.py
MEM 76.101562 1408955321.2474
MEM 76.359375 1408955321.3477
MEM 76.359375 1408955321.4480
MEM 76.359375 1408955321.5484
MEM 76.617188 1408955321.6487
MEM 76.617188 1408955321.7490
MEM 76.875000 1408955321.8493
MEM 76.875000 1408955321.9497
MEM 76.875000 1408955322.0499
MEM 77.132812 1408955322.1503
MEM 77.132812 1408955322.2507
MEM 77.390625 1408955322.3511
MEM 77.390625 1408955322.4514
MEM 77.390625 1408955322.5517
MEM 77.648438 1408955322.6521
MEM 77.648438 1408955322.7524
MEM 77.648438 1408955322.8527
MEM 77.906250 1408955322.9530
MEM 77.906250 1408955323.0537
MEM 78.164062 1408955323.1554
MEM 78.164062 1408955323.2557
MEM 78.164062 1408955323.3561
MEM 78.421875 1408955323.4565
MEM 78.421875 1408955323.5568
MEM 78.421875 1408955323.6571
MEM 78.679688 1408955323.7577
MEM 78.679688 1408955323.8580
MEM 78.679688 1408955323.9584
MEM 78.937500 1408955324.0587
MEM 78.937500 1408955324.1590
MEM 79.195312 1408955324.2593
MEM 79.195312 1408955324.3597
MEM 79.429688 1408955324.4600
MEM 79.429688 1408955324.5603
MEM 79.429688 1408955324.6606
MEM 79.687500 1408955324.7609
MEM 79.687500 1408955324.8613
MEM 79.687500 1408955324.9616
MEM 79.945312 1408955325.0619
MEM 79.945312 1408955325.1622
MEM 80.203125 1408955325.2626
MEM 80.203125 1408955325.3629
MEM 80.203125 1408955325.4632
MEM 80.460938 1408955325.5635
MEM 80.460938 1408955325.6638
MEM 80.718750 1408955325.7642
MEM 80.718750 1408955325.8645
MEM 80.718750 1408955325.9648
MEM 80.976562 1408955326.0653
MEM 80.976562 1408955326.1656
MEM 81.234375 1408955326.2659
MEM 81.234375 1408955326.3663
MEM 81.234375 1408955326.4666
MEM 81.492188 1408955326.5669
MEM 81.492188 1408955326.6672
MEM 81.750000 1408955326.7676
MEM 81.750000 1408955326.8678
MEM 81.750000 1408955326.9682
MEM 82.007812 1408955327.0685
MEM 82.007812 1408955327.1688
MEM 82.007812 1408955327.2692
MEM 82.265625 1408955327.3695
MEM 82.265625 1408955327.4698
MEM 82.523438 1408955327.5701
MEM 82.523438 1408955327.6704
MEM 82.523438 1408955327.7708
MEM 82.781250 1408955327.8711
MEM 82.781250 1408955327.9714
MEM 83.039062 1408955328.0718
MEM 83.039062 1408955328.1721
MEM 83.039062 1408955328.2726
MEM 83.296875 1408955328.3729
MEM 83.296875 1408955328.4732
MEM 83.296875 1408955328.5735
MEM 83.554688 1408955328.6739
MEM 83.554688 1408955328.7742
MEM 83.812500 1408955328.8745
MEM 83.812500 1408955328.9748
MEM 83.812500 1408955329.0751
MEM 84.070312 1408955329.1755
MEM 84.070312 1408955329.2758
MEM 84.328125 1408955329.3761
MEM 84.328125 1408955329.4764
MEM 84.328125 1408955329.5768
MEM 84.585938 1408955329.6771
MEM 84.585938 1408955329.7774
MEM 84.585938 1408955329.8777
MEM 84.843750 1408955329.9781
MEM 84.843750 1408955330.0784
MEM 85.101562 1408955330.1787
MEM 85.101562 1408955330.2790
MEM 85.101562 1408955330.3794
MEM 85.359375 1408955330.4797
MEM 85.359375 1408955330.5800
MEM 85.617188 1408955330.6803
MEM 85.617188 1408955330.7806
MEM 85.617188 1408955330.8809
MEM 85.875000 1408955330.9813
MEM 85.875000 1408955331.0816
MEM 85.875000 1408955331.1820
MEM 86.132812 1408955331.2823
MEM 86.132812 1408955331.3827
MEM 86.390625 1408955331.4830
MEM 86.390625 1408955331.5833
MEM 86.390625 1408955331.6836
MEM 86.648438 1408955331.7840
MEM 86.648438 1408955331.8843
MEM 86.906250 1408955331.9846
MEM 86.906250 1408955332.0850
MEM 86.906250 1408955332.1853
MEM 87.164062 1408955332.2856
MEM 87.164062 1408955332.3860
MEM 87.164062 1408955332.4863
MEM 87.421875 1408955332.5866
MEM 87.421875 1408955332.6870
MEM 87.679688 1408955332.7873
MEM 87.679688 1408955332.8876
MEM 87.679688 1408955332.9879
MEM 87.937500 1408955333.0882
MEM 87.937500 1408955333.1888
MEM 87.937500 1408955333.2892
MEM 88.195312 1408955333.3895
MEM 88.195312 1408955333.4899
MEM 88.453125 1408955333.5902
MEM 88.453125 1408955333.6905
MEM 88.453125 1408955333.7908
MEM 88.710938 1408955333.8911
MEM 88.710938 1408955333.9914
MEM 88.968750 1408955334.0918
MEM 88.968750 1408955334.1921
MEM 88.968750 1408955334.2924
MEM 89.226562 1408955334.3927
MEM 89.226562 1408955334.4930
MEM 231.585938 1408955334.5934
MEM 272.578125 1408955334.6938
MEM 272.578125 1408955334.7943
MEM 418.757812 1408955334.8946
MEM 433.195312 1408955334.9950
MEM 433.195312 1408955335.0953
MEM 433.195312 1408955335.1956
MEM 433.195312 1408955335.2960
MEM 433.195312 1408955335.3963
MEM 433.195312 1408955335.4966
MEM 433.195312 1408955335.5969
MEM 433.195312 1408955335.6973
MEM 433.195312 1408955335.7981
MEM 433.410156 1408955335.8985
MEM 433.410156 1408955335.9988
MEM 433.410156 1408955336.0992
MEM 433.410156 1408955336.1995
MEM 433.410156 1408955336.3002
MEM 433.410156 1408955336.4006
MEM 433.410156 1408955336.5009
MEM 433.410156 1408955336.6012
MEM 433.410156 1408955336.7015
MEM 433.410156 1408955336.8019
MEM 433.410156 1408955336.9022
MEM 433.410156 1408955337.0025
MEM 433.410156 1408955337.1029
MEM 433.410156 1408955337.2034
MEM 433.410156 1408955337.3038
MEM 433.410156 1408955337.4041
MEM 433.410156 1408955337.5045
MEM 433.410156 1408955337.6048
MEM 433.410156 1408955337.7051
MEM 433.410156 1408955337.8057
MEM 433.410156 1408955337.9060
MEM 433.410156 1408955338.0063
MEM 433.410156 1408955338.1067
MEM 433.410156 1408955338.2075
MEM 433.410156 1408955338.3078
MEM 433.410156 1408955338.4081
MEM 433.410156 1408955338.5085
MEM 433.410156 1408955338.6088
MEM 433.410156 1408955338.7096
MEM 433.410156 1408955338.8100
MEM 433.410156 1408955338.9103
MEM 433.410156 1408955339.0106
MEM 433.410156 1408955339.1109
MEM 433.410156 1408955339.2115
MEM 433.410156 1408955339.3118
MEM 433.410156 1408955339.4121
MEM 433.410156 1408955339.5125
MEM 433.410156 1408955339.6128
MEM 433.410156 1408955339.7136
MEM 433.410156 1408955339.8159
MEM 433.410156 1408955339.9162
MEM 433.410156 1408955340.0165
MEM 433.410156 1408955340.1168
MEM 433.410156 1408955340.2172
MEM 433.410156 1408955340.3175
MEM 433.410156 1408955340.4179
MEM 433.410156 1408955340.5182
MEM 433.410156 1408955340.6185
MEM 433.410156 1408955340.7189
MEM 433.410156 1408955340.8192
MEM 433.410156 1408955340.9195
MEM 433.410156 1408955341.0198
MEM 433.410156 1408955341.1202
MEM 433.410156 1408955341.2221
MEM 433.410156 1408955341.3224
MEM 433.410156 1408955341.4228
MEM 433.410156 1408955341.5232
MEM 433.410156 1408955341.6235
MEM 433.410156 1408955341.7238
MEM 433.410156 1408955341.8241
MEM 433.410156 1408955341.9245
MEM 433.410156 1408955342.0248
MEM 412.093750 1408955342.1253
MEM 412.093750 1408955342.2256
MEM 412.093750 1408955342.3259
MEM 412.093750 1408955342.4263
MEM 412.093750 1408955342.5266
MEM 412.093750 1408955342.6269
MEM 412.093750 1408955342.7272
MEM 412.093750 1408955342.8278
MEM 412.093750 1408955342.9282
MEM 412.093750 1408955343.0285
