CMDLINE python basic_decode.py
MEM 0.554688 1408955168.9610
MEM 15.714844 1408955169.0613
MEM 25.433594 1408955169.1616
MEM 32.531250 1408955169.2620
MEM 44.109375 1408955169.3623
MEM 47.964844 1408955169.4626
MEM 49.769531 1408955169.5635
MEM 49.769531 1408955169.6639
MEM 49.769531 1408955169.7642
MEM 49.769531 1408955169.8646
MEM 49.769531 1408955169.9654
MEM 49.769531 1408955170.0661
MEM 49.769531 1408955170.1669
MEM 49.769531 1408955170.2679
MEM 49.968750 1408955170.3682
MEM 49.968750 1408955170.4685
MEM 49.968750 1408955170.5688
MEM 50.226562 1408955170.6692
MEM 50.226562 1408955170.7695
MEM 50.226562 1408955170.8703
MEM 50.484375 1408955170.9707
MEM 50.484375 1408955171.0711
MEM 50.484375 1408955171.1714
MEM 50.742188 1408955171.2717
MEM 50.742188 1408955171.3720
MEM 51.000000 1408955171.4724
MEM 51.000000 1408955171.5727
MEM 51.000000 1408955171.6730
MEM 51.257812 1408955171.7733
MEM 51.257812 1408955171.8736
MEM 51.257812 1408955171.9745
MEM 51.515625 1408955172.0749
MEM 51.515625 1408955172.1752
MEM 51.515625 1408955172.2755
MEM 51.773438 1408955172.3762
MEM 51.773438 1408955172.4765
MEM 52.031250 1408955172.5769
MEM 52.031250 1408955172.6772
MEM 52.031250 1408955172.7775
MEM 52.289062 1408955172.8779
MEM 52.289062 1408955172.9783
MEM 52.546875 1408955173.0786
MEM 52.546875 1408955173.1790
MEM 52.546875 1408955173.2793
MEM 52.804688 1408955173.3796
MEM 52.804688 1408955173.4800
MEM 53.062500 1408955173.5803
MEM 53.062500 1408955173.6806
MEM 53.062500 1408955173.7809
MEM 53.320312 1408955173.8813
MEM 53.320312 1408955173.9816
MEM 53.320312 1408955174.0820
MEM 53.578125 1408955174.1823
MEM 53.578125 1408955174.2826
MEM 53.835938 1408955174.3830
MEM 53.835938 1408955174.4833
MEM 53.835938 1408955174.5836
MEM 54.070312 1408955174.6840
MEM 54.070312 1408955174.7843
MEM 54.328125 1408955174.8848
MEM 54.328125 1408955174.9851
MEM 54.328125 1408955175.0854
MEM 54.585938 1408955175.1858
MEM 54.585938 1408955175.2861
MEM 54.585938 1408955175.3864
MEM 54.843750 1408955175.4868
MEM 54.843750 1408955175.5871
MEM 55.101562 1408955175.6874
MEM 55.101562 1408955175.7877
MEM 55.101562 1408955175.8915
MEM 55.359375 1408955175.9918
MEM 55.359375 1408955176.0921
MEM 55.359375 1408955176.1924
MEM 55.617188 1408955176.2928
MEM 55.617188 1408955176.3930
MEM 55.875000 1408955176.4937
MEM 55.875000 1408955176.5941
MEM 55.875000 1408955176.6944
MEM 56.132812 1408955176.7947
MEM 56.132812 1408955176.8950
MEM 56.390625 1408955176.9959
MEM 56.390625 1408955177.0963
MEM 56.390625 1408955177.1966
MEM 56.648438 1408955177.2969
MEM 56.648438 1408955177.3972
MEM 56.648438 1408955177.4977
MEM 56.906250 1408955177.5981
MEM 56.906250 1408955177.6984
MEM 57.164062 1408955177.7987
MEM 57.164062 1408955177.8990
MEM 57.164062 1408955177.9998
MEM 57.421875 1408955178.1002
MEM 112.617188 1408955178.2006
MEM 172.171875 1408955178.3009
MEM 182.484375 1408955178.4012
MEM 182.484375 1408955178.5019
MEM 182.484375 1408955178.6023
MEM 182.484375 1408955178.7026
MEM 182.484375 1408955178.8029
MEM 182.484375 1408955178.9032
MEM 182.484375 1408955179.0035
MEM 182.484375 1408955179.1038
MEM 182.484375 1408955179.2043
MEM 182.484375 1408955179.3046
MEM 182.484375 1408955179.4049
MEM 182.484375 1408955179.5056
MEM 182.484375 1408955179.6060
MEM 182.484375 1408955179.7063
MEM 182.484375 1408955179.8066
MEM 182.484375 1408955179.9069
MEM 182.484375 1408955180.0072
MEM 182.484375 1408955180.1076
MEM 182.484375 1408955180.2079
MEM 182.484375 1408955180.3082
MEM 182.484375 1408955180.4086
MEM 182.484375 1408955180.5089
MEM 182.484375 1408955180.6092
MEM 182.484375 1408955180.7095
MEM 174.886719 1408955180.8101
MEM 174.886719 1408955180.9104
MEM 174.886719 1408955181.0108
MEM 174.886719 1408955181.1111
MEM 174.886719 1408955181.2114
MEM 174.894531 1408955181.3118
