CMDLINE python basic_decode.py
MEM 0.589844 1408954967.7033
MEM 16.253906 1408954967.8037
MEM 25.796875 1408954967.9040
MEM 36.558594 1408954968.0044
MEM 44.281250 1408954968.1047
MEM 48.390625 1408954968.2050
MEM 49.679688 1408954968.3057
MEM 49.679688 1408954968.4060
MEM 49.679688 1408954968.5063
MEM 49.679688 1408954968.6067
MEM 49.679688 1408954968.7070
MEM 49.679688 1408954968.8078
MEM 49.679688 1408954968.9084
MEM 49.894531 1408954969.0087
MEM 49.894531 1408954969.1090
MEM 49.894531 1408954969.2094
MEM 50.128906 1408954969.3097
MEM 50.128906 1408954969.4100
MEM 50.386719 1408954969.5103
MEM 50.386719 1408954969.6107
MEM 50.386719 1408954969.7110
MEM 50.644531 1408954969.8113
MEM 50.644531 1408954969.9116
MEM 50.644531 1408954970.0120
MEM 50.902344 1408954970.1123
MEM 50.902344 1408954970.2126
MEM 51.160156 1408954970.3129
MEM 51.160156 1408954970.4132
MEM 51.160156 1408954970.5136
MEM 51.417969 1408954970.6139
MEM 51.417969 1408954970.7142
MEM 51.675781 1408954970.8145
MEM 51.675781 1408954970.9148
MEM 51.675781 1408954971.0151
MEM 51.933594 1408954971.1155
MEM 51.933594 1408954971.2158
MEM 51.933594 1408954971.3161
MEM 52.191406 1408954971.4164
MEM 52.191406 1408954971.5167
MEM 52.449219 1408954971.6170
MEM 52.449219 1408954971.7173
MEM 52.449219 1408954971.8177
MEM 52.707031 1408954971.9180
MEM 52.707031 1408954972.0183
MEM 52.707031 1408954972.1186
MEM 52.964844 1408954972.2189
MEM 52.964844 1408954972.3193
MEM 53.222656 1408954972.4196
MEM 53.222656 1408954972.5198
MEM 53.222656 1408954972.6201
MEM 53.468750 1408954972.7204
MEM 53.468750 1408954972.8208
MEM 53.726562 1408954972.9212
MEM 53.726562 1408954973.0215
MEM 53.726562 1408954973.1218
MEM 53.984375 1408954973.2221
MEM 53.984375 1408954973.3224
MEM 53.984375 1408954973.4227
MEM 54.242188 1408954973.5231
MEM 54.242188 1408954973.6234
MEM 54.500000 1408954973.7237
MEM 54.500000 1408954973.8240
MEM 54.500000 1408954973.9243
MEM 54.757812 1408954974.0246
MEM 54.757812 1408954974.1250
MEM 54.757812 1408954974.2253
MEM 55.015625 1408954974.3256
MEM 55.015625 1408954974.4259
MEM 55.273438 1408954974.5262
MEM 55.273438 1408954974.6265
MEM 55.273438 1408954974.7269
MEM 55.531250 1408954974.8272
MEM 55.531250 1408954974.9275
MEM 55.531250 1408954975.0278
MEM 55.789062 1408954975.1281
MEM 55.789062 1408954975.2285
MEM 56.046875 1408954975.3288
MEM 56.046875 1408954975.4291
MEM 56.046875 1408954975.5294
MEM 56.304688 1408954975.6297
MEM 56.304688 1408954975.7300
MEM 56.304688 1408954975.8304
MEM 56.562500 1408954975.9307
MEM 56.562500 1408954976.0310
MEM 56.820312 1408954976.1313
MEM 56.820312 1408954976.2316
MEM 56.820312 1408954976.3319
MEM 112.402344 1408954976.4325
MEM 174.277344 1408954976.5333
MEM 174.277344 1408954976.6337
MEM 174.519531 1408954976.7340
MEM 174.519531 1408954976.8343
MEM 174.519531 1408954976.9346
MEM 174.519531 1408954977.0350
MEM 174.519531 1408954977.1353
MEM 174.519531 1408954977.2357
MEM 174.519531 1408954977.3360
MEM 174.519531 1408954977.4363
MEM 174.519531 1408954977.5366
MEM 174.519531 1408954977.6370
MEM 174.519531 1408954977.7373
MEM 174.519531 1408954977.8376
MEM 174.519531 1408954977.9380
MEM 174.519531 1408954978.0384
MEM 174.519531 1408954978.1387
MEM 174.519531 1408954978.2390
MEM 174.519531 1408954978.3394
MEM 174.519531 1408954978.4397
MEM 174.519531 1408954978.5400
MEM 174.519531 1408954978.6403
MEM 174.519531 1408954978.7407
MEM 174.519531 1408954978.8410
MEM 174.519531 1408954978.9413
MEM 167.308594 1408954979.0416
MEM 167.308594 1408954979.1420
MEM 167.308594 1408954979.2423
MEM 167.308594 1408954979.3426
MEM 167.308594 1408954979.4433
